name,date,value,type
明年,2020/11/1,90,Chinese
大哭,2020/11/1,28,Chinese
世界,2020/11/1,17,Chinese
第三,2020/11/1,16,Chinese
机会,2020/11/1,14,Chinese
冲冲,2020/10/4,152,Chinese
小狮子,2020/10/4,136,Chinese
叉烧,2020/10/4,71,Chinese
唐焕峰,2020/10/4,57,Chinese
希望,2020/10/4,50,Chinese
京东,2020/10/3,30,Chinese
冲冲,2020/10/3,24,Chinese
比赛,2020/10/3,14,Chinese
哈哈哈,2020/10/3,11,Chinese
夺冠,2020/10/3,9,Chinese
叉烧,2020/10/2,49,Chinese
京东,2020/10/2,40,Chinese
干碎,2020/10/2,29,Chinese
夺冠,2020/10/2,19,Chinese
喜欢,2020/10/2,16,Chinese
视频,2020/10/1,20,Chinese
世界,2020/10/1,13,Chinese
引流,2020/10/1,8,Chinese
可惜,2020/10/1,7,Chinese
独播,2020/10/1,6,Chinese
加油,2020/11/4,97,Chinese
希望,2020/11/4,27,Chinese
海王,2020/11/4,18,Chinese
北美,2020/11/4,18,Chinese
妈妈,2020/11/4,17,Chinese
冠军,2020/11/2,127,Chinese
亚军,2020/11/2,101,Chinese
明年,2020/11/2,66,Chinese
决赛,2020/11/2,42,Chinese
希望,2020/11/2,40,Chinese
营销,2020/11/3,10,Chinese
转发,2020/11/3,8,Chinese
加油,2020/11/3,6,Chinese
北美,2020/11/3,5,Chinese
传奇,2020/11/3,5,Chinese
